anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,BAJA CALIFORNIA SUR,15 A 19 A«?OS,MUJERES,56,0,28,105,0,2,2,1,0,5,11,Baja California Sur
2024,BAJA CALIFORNIA SUR,20 A 29 A«?OS,HOMBRES,79,0,13,119,1,9,3,5,0,9,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,20 A 29 A«?OS,MUJERES,223,0,55,294,4,5,2,2,0,3,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,30 A 49 A«?OS,HOMBRES,164,1,26,240,9,6,4,1,0,29,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,30 A 49 A«?OS,MUJERES,326,1,76,463,32,5,0,1,0,22,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,5 A 9 A«?OS,HOMBRES,11,0,1,144,0,7,0,33,23,0,69,Baja California Sur
2024,BAJA CALIFORNIA SUR,5 A 9 A«?OS,MUJERES,9,0,3,57,1,4,0,10,5,0,25,Baja California Sur
2024,BAJA CALIFORNIA SUR,50 A 59 A«?OS,HOMBRES,56,2,3,78,8,1,0,0,0,8,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,50 A 59 A«?OS,MUJERES,94,1,25,137,3,3,1,0,0,10,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,60 A«?OS Y M«ÅS,HOMBRES,46,19,11,84,1,3,0,0,0,4,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,60 A«?OS Y M«ÅS,MUJERES,93,37,31,173,4,2,0,0,0,6,0,Baja California Sur
2024,CAMPECHE,10 A 14 A«?OS,HOMBRES,56,0,34,173,0,11,6,4,13,0,49,Campeche
2024,CAMPECHE,10 A 14 A«?OS,MUJERES,101,0,65,211,0,10,4,1,2,2,26,Campeche
2024,CAMPECHE,15 A 19 A«?OS,HOMBRES,21,0,68,116,0,4,0,4,2,3,14,Campeche
2024,CAMPECHE,15 A 19 A«?OS,MUJERES,50,0,115,200,1,13,6,0,0,2,13,Campeche
2024,CAMPECHE,20 A 29 A«?OS,HOMBRES,112,0,43,176,0,8,5,0,0,8,0,Campeche
2024,CAMPECHE,20 A 29 A«?OS,MUJERES,249,0,126,419,8,22,6,1,0,7,0,Campeche
2024,CAMPECHE,30 A 49 A«?OS,HOMBRES,168,0,47,240,1,9,3,1,0,11,0,Campeche
2024,CAMPECHE,30 A 49 A«?OS,MUJERES,470,0,211,724,5,19,10,0,0,9,0,Campeche
2024,CAMPECHE,5 A 9 A«?OS,HOMBRES,40,0,14,169,0,11,9,28,20,6,41,Campeche
2024,CAMPECHE,5 A 9 A«?OS,MUJERES,37,0,5,92,0,15,4,4,6,2,19,Campeche
2024,CAMPECHE,50 A 59 A«?OS,HOMBRES,54,3,25,89,1,2,0,0,0,4,0,Campeche
2024,CAMPECHE,50 A 59 A«?OS,MUJERES,150,1,68,229,2,1,2,1,0,4,0,Campeche
2024,CAMPECHE,60 A«?OS Y M«ÅS,HOMBRES,51,11,34,101,0,1,0,0,0,4,0,Campeche
2024,CAMPECHE,60 A«?OS Y M«ÅS,MUJERES,113,16,74,206,0,2,1,0,0,0,0,Campeche
2024,CHIAPAS,10 A 14 A«?OS,HOMBRES,277,0,164,1050,0,44,21,53,69,6,416,Chiapas
2024,CHIAPAS,10 A 14 A«?OS,MUJERES,638,0,348,1439,3,24,46,15,19,8,338,Chiapas
2024,CHIAPAS,15 A 19 A«?OS,HOMBRES,160,0,185,513,4,14,11,19,12,11,97,Chiapas
2024,CHIAPAS,15 A 19 A«?OS,MUJERES,560,1,556,1362,9,9,54,9,5,45,114,Chiapas
2024,CHIAPAS,20 A 29 A«?OS,HOMBRES,683,0,237,1008,3,12,25,8,0,40,0,Chiapas
2024,CHIAPAS,20 A 29 A«?OS,MUJERES,2246,0,883,3332,19,20,76,3,0,85,0,Chiapas
2024,CHIAPAS,30 A 49 A«?OS,HOMBRES,934,2,305,1391,23,18,28,1,0,80,0,Chiapas
2024,CHIAPAS,30 A 49 A«?OS,MUJERES,2861,0,1262,4351,31,25,87,2,0,83,0,Chiapas
2024,CHIAPAS,5 A 9 A«?OS,HOMBRES,109,0,16,892,1,29,13,113,126,4,481,Chiapas
2024,CHIAPAS,5 A 9 A«?OS,MUJERES,158,0,17,535,0,18,8,35,43,0,256,Chiapas
2024,CHIAPAS,50 A 59 A«?OS,HOMBRES,244,5,124,408,2,6,9,0,0,18,0,Chiapas
2024,CHIAPAS,50 A 59 A«?OS,MUJERES,791,8,493,1355,10,6,14,0,2,31,0,Chiapas
2024,CHIAPAS,60 A«?OS Y M«ÅS,HOMBRES,285,35,204,547,1,6,6,1,0,9,0,Chiapas
2024,CHIAPAS,60 A«?OS Y M«ÅS,MUJERES,612,28,487,1163,6,5,11,1,0,13,0,Chiapas
2024,CHIHUAHUA,10 A 14 A«?OS,HOMBRES,268,0,68,1059,9,30,11,34,309,3,327,Chihuahua
2024,CHIHUAHUA,10 A 14 A«?OS,MUJERES,678,0,134,1294,2,46,25,20,124,4,261,Chihuahua
2024,CHIHUAHUA,15 A 19 A«?OS,HOMBRES,100,0,64,339,4,27,2,28,44,12,58,Chihuahua
2024,CHIHUAHUA,15 A 19 A«?OS,MUJERES,393,0,217,758,27,17,20,8,10,14,52,Chihuahua
2024,CHIHUAHUA,20 A 29 A«?OS,HOMBRES,459,1,86,707,36,30,15,19,0,61,0,Chihuahua
2024,CHIHUAHUA,20 A 29 A«?OS,MUJERES,1551,1,304,2039,105,32,19,4,0,23,0,Chihuahua
2024,CHIHUAHUA,30 A 49 A«?OS,HOMBRES,638,6,102,1004,101,46,11,6,1,93,0,Chihuahua
2024,CHIHUAHUA,30 A 49 A«?OS,MUJERES,2544,4,567,3516,272,23,51,2,0,53,0,Chihuahua
2024,CHIHUAHUA,5 A 9 A«?OS,HOMBRES,117,0,30,1406,0,44,9,155,508,0,543,Chihuahua
2024,CHIHUAHUA,5 A 9 A«?OS,MUJERES,151,0,17,727,0,30,10,50,196,0,273,Chihuahua
2024,CHIHUAHUA,50 A 59 A«?OS,HOMBRES,240,6,54,439,90,11,9,0,0,29,0,Chihuahua
2024,CHIHUAHUA,50 A 59 A«?OS,MUJERES,1069,9,300,1607,162,23,17,0,0,27,0,Chihuahua
2024,CHIHUAHUA,60 A«?OS Y M«ÅS,HOMBRES,225,72,74,457,47,8,2,0,0,29,0,Chihuahua
2024,CHIHUAHUA,60 A«?OS Y M«ÅS,MUJERES,721,92,296,1297,151,6,5,0,0,26,0,Chihuahua
2024,CIUDAD DE M«?XICO,10 A 14 A«?OS,HOMBRES,1321,0,625,5434,6,442,43,297,1199,34,1467,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,10 A 14 A«?OS,MUJERES,2108,0,1315,5056,15,271,45,79,323,27,873,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,15 A 19 A«?OS,HOMBRES,398,0,575,1912,6,235,56,138,254,43,207,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,15 A 19 A«?OS,MUJERES,813,1,1333,2727,7,199,57,20,73,31,193,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,20 A 29 A«?OS,HOMBRES,1660,3,790,3149,26,252,163,90,6,159,0,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,20 A 29 A«?OS,MUJERES,3476,2,2177,6173,35,261,136,17,2,67,0,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,30 A 49 A«?OS,HOMBRES,2762,11,1097,4792,91,333,182,20,1,295,0,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,30 A 49 A«?OS,MUJERES,6274,11,3534,10737,127,346,217,14,4,210,0,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,5 A 9 A«?OS,HOMBRES,635,0,202,6352,5,383,55,1018,2099,55,1900,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,5 A 9 A«?OS,MUJERES,647,0,183,2944,1,246,46,183,536,21,1081,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,50 A 59 A«?OS,HOMBRES,1366,35,504,2248,32,116,64,2,0,129,0,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,50 A 59 A«?OS,MUJERES,3302,32,1949,5688,64,132,85,2,0,122,0,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,60 A«?OS Y M«ÅS,HOMBRES,1408,389,660,2657,24,44,43,3,1,85,0,Ciudad de M«∏xico
2024,CIUDAD DE M«?XICO,60 A«?OS Y M«ÅS,MUJERES,3716,875,2600,7488,54,54,77,1,0,111,0,Ciudad de M«∏xico
2024,COAHUILA DE ZARAGOZA,10 A 14 A«?OS,HOMBRES,32,0,11,157,0,13,1,7,10,2,81,Coahuila
2024,COAHUILA DE ZARAGOZA,10 A 14 A«?OS,MUJERES,102,0,34,182,0,4,0,0,0,2,40,Coahuila
2024,COAHUILA DE ZARAGOZA,15 A 19 A«?OS,HOMBRES,6,0,21,50,0,3,2,0,6,2,10,Coahuila
2024,COAHUILA DE ZARAGOZA,15 A 19 A«?OS,MUJERES,55,0,60,137,1,4,1,1,1,4,10,Coahuila
2024,COAHUILA DE ZARAGOZA,20 A 29 A«?OS,HOMBRES,74,0,17,117,2,5,1,3,0,15,0,Coahuila
2024,COAHUILA DE ZARAGOZA,20 A 29 A«?OS,MUJERES,231,0,121,387,2,13,3,3,0,14,0,Coahuila
2024,COAHUILA DE ZARAGOZA,30 A 49 A«?OS,HOMBRES,70,0,45,142,2,6,0,1,0,18,0,Coahuila
2024,COAHUILA DE ZARAGOZA,30 A 49 A«?OS,MUJERES,261,0,110,404,5,7,3,2,0,16,0,Coahuila
2024,COAHUILA DE ZARAGOZA,5 A 9 A«?OS,HOMBRES,25,0,1,138,1,6,5,28,6,3,63,Coahuila
2024,COAHUILA DE ZARAGOZA,5 A 9 A«?OS,MUJERES,8,0,3,57,0,5,0,11,0,9,21,Coahuila
2024,COAHUILA DE ZARAGOZA,50 A 59 A«?OS,HOMBRES,27,0,25,65,0,2,1,0,0,10,0,Coahuila
2024,COAHUILA DE ZARAGOZA,50 A 59 A«?OS,MUJERES,80,2,71,165,2,0,0,0,0,10,0,Coahuila
2024,COAHUILA DE ZARAGOZA,60 A«?OS Y M«ÅS,HOMBRES,26,30,34,97,1,4,0,0,0,2,0,Coahuila
2024,COAHUILA DE ZARAGOZA,60 A«?OS Y M«ÅS,MUJERES,69,30,78,183,2,0,0,0,0,4,0,Coahuila
2024,COLIMA,10 A 14 A«?OS,HOMBRES,27,0,12,145,0,12,2,9,12,0,71,Colima
