anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,AGUASCALIENTES,10 A 14 A«?OS,HOMBRES,53,0,33,322,0,15,3,16,41,1,160,Aguascalientes
2024,AGUASCALIENTES,10 A 14 A«?OS,MUJERES,149,0,45,305,0,8,1,4,0,0,98,Aguascalientes
2024,AGUASCALIENTES,15 A 19 A«?OS,HOMBRES,74,0,52,220,0,6,5,1,13,0,69,Aguascalientes
2024,AGUASCALIENTES,15 A 19 A«?OS,MUJERES,80,0,115,285,3,2,6,1,0,0,78,Aguascalientes
2024,AGUASCALIENTES,20 A 29 A«?OS,HOMBRES,176,0,73,293,0,10,8,25,0,1,0,Aguascalientes
2024,AGUASCALIENTES,20 A 29 A«?OS,MUJERES,333,0,211,563,0,14,3,2,0,0,0,Aguascalientes
2024,AGUASCALIENTES,30 A 49 A«?OS,HOMBRES,270,1,66,360,11,2,4,0,0,6,0,Aguascalientes
2024,AGUASCALIENTES,30 A 49 A«?OS,MUJERES,655,0,373,1058,10,2,11,0,0,7,0,Aguascalientes
2024,AGUASCALIENTES,5 A 9 A«?OS,HOMBRES,39,0,13,236,0,8,2,31,45,0,98,Aguascalientes
2024,AGUASCALIENTES,5 A 9 A«?OS,MUJERES,41,0,2,95,0,5,0,5,5,0,37,Aguascalientes
2024,AGUASCALIENTES,50 A 59 A«?OS,HOMBRES,74,0,65,143,1,0,0,0,0,3,0,Aguascalientes
2024,AGUASCALIENTES,50 A 59 A«?OS,MUJERES,266,2,175,449,1,1,3,0,0,1,0,Aguascalientes
2024,AGUASCALIENTES,60 A«?OS Y M«ÅS,HOMBRES,97,6,68,189,14,0,0,0,0,4,0,Aguascalientes
2024,AGUASCALIENTES,60 A«?OS Y M«ÅS,MUJERES,242,28,205,482,1,0,2,0,0,4,0,Aguascalientes
2024,BAJA CALIFORNIA,10 A 14 A«?OS,HOMBRES,139,0,8,476,3,40,10,61,51,7,157,Baja California
2024,BAJA CALIFORNIA,10 A 14 A«?OS,MUJERES,306,0,21,526,2,24,4,24,30,6,109,Baja California
2024,BAJA CALIFORNIA,15 A 19 A«?OS,HOMBRES,86,0,18,239,7,19,2,47,11,17,32,Baja California
2024,BAJA CALIFORNIA,15 A 19 A«?OS,MUJERES,196,0,51,353,8,25,22,10,7,8,26,Baja California
